_id,name,category_code,offices,address1,address2,city,latitude,longitude,country_code
613517e17c85e5f861db66ad,iOpener,games_video,"{'description': None, 'address1': 'RoermonderstraÃŸe 199', 'address2': '', 'zip_code': '52072', 'city': 'Aachen', 'state_code': None, 'country_code': 'DEU', 'latitude': 50.791481, 'longitude': 6.066681}",RoermonderstraÃŸe 199,,Aachen,50.791481,6.066681,DEU
613517e17c85e5f861db777a,Apaja,games_video,"{'description': 'Apaja HQ', 'address1': 'Mikonkatu 19', 'address2': '', 'zip_code': '00100', 'city': 'Helsinki', 'state_code': None, 'country_code': 'FIN', 'latitude': 60.171821, 'longitude': 24.945167}",Mikonkatu 19,,Helsinki,60.171821,24.945167,FIN
613517e17c85e5f861db78a7,Awdio,games_video,"{'description': 'HQ', 'address1': '33 rue Stephenson', 'address2': '', 'zip_code': '75018', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.887534, 'longitude': 2.356288}",33 rue Stephenson,,Paris,48.887534,2.356288,FRA
613517e17c85e5f861db812e,Geewa,games_video,"{'description': 'World Headquarters', 'address1': 'Sokolovska 84', 'address2': '', 'zip_code': '18600', 'city': 'Prague 8', 'state_code': None, 'country_code': 'CZE', 'latitude': 50.0938491, 'longitude': 14.4505336}",Sokolovska 84,,Prague 8,50.0938491,14.4505336,CZE
613517e17c85e5f861db78f8,Citizenside,games_video,"{'description': 'Paris Bureau', 'address1': 'Level 5', 'address2': '52 boulevard Sébastopol', 'zip_code': '75003', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.8926988, 'longitude': 2.3179601}",Level 5,52 boulevard Sébastopol,Paris,48.8926988,2.3179601,FRA
613517e27c85e5f861db8263,Heartscape,biotech,"{'description': 'Heartscape', 'address1': '9160 Rumsey Road,', 'address2': 'Suite B-8', 'zip_code': 'Maryland 21045', 'city': 'Columbia', 'state_code': 'MD', 'country_code': 'USA', 'latitude': 39.2328783, 'longitude': -76.8204666}","9160 Rumsey Road,",Suite B-8,Columbia,39.2328783,-76.8204666,USA
613517e27c85e5f861db8482,Serious Parody,games_video,"{'description': None, 'address1': None, 'address2': None, 'zip_code': None, 'city': 'Dundee', 'state_code': '', 'country_code': 'GBR', 'latitude': 56.462018, 'longitude': -2.970721}",,,Dundee,56.462018,-2.970721,GBR
613517e27c85e5f861db825b,Atraverda,cleantech,"{'description': 'Head Office', 'address1': 'Units A&B', 'address2': 'Roseheyworth Business Park', 'zip_code': 'NP13 1SX', 'city': 'Abertillery, Gwent,', 'state_code': None, 'country_code': 'GBR', 'latitude': 23.066066, 'longitude': -82.2927796}",Units A&B,Roseheyworth Business Park,"Abertillery, Gwent,",23.066066,-82.2927796,GBR
613517e27c85e5f861db8715,Renewable Energy Group,cleantech,"{'description': 'HQ', 'address1': '416 S. Bell Ave., PO Box 888', 'address2': '', 'zip_code': '50010', 'city': 'Ames', 'state_code': 'IN', 'country_code': 'USA', 'latitude': 42.0231313, 'longitude': -93.57495}","416 S. Bell Ave., PO Box 888",,Ames,42.0231313,-93.57495,USA
613517e17c85e5f861db6b4d,amazingtunes,games_video,"{'description': None, 'address1': '19 Grey St', 'address2': '', 'zip_code': 'NE1 6EE', 'city': 'Newcastle Upon Tyne', 'state_code': None, 'country_code': 'GBR', 'latitude': 54.971346, 'longitude': -1.611141}",19 Grey St,,Newcastle Upon Tyne,54.971346,-1.611141,GBR
613517e17c85e5f861db64be,RedLasso,games_video,"{'description': None, 'address1': '620 Allendale Road', 'address2': 'Suite 100-A', 'zip_code': '19406', 'city': 'King of Prussia', 'state_code': 'PA', 'country_code': 'USA', 'latitude': 40.099703, 'longitude': -75.39599}",620 Allendale Road,Suite 100-A,King of Prussia,40.099703,-75.39599,USA
613517e27c85e5f861db8426,Tribal Nova,games_video,"{'description': ""Montreal's Office"", 'address1': '4398, Boul. St-Laurent', 'address2': 'Suite 304', 'zip_code': 'H2W 1Z5', 'city': 'Montreal', 'state_code': None, 'country_code': 'CAN', 'latitude': 45.5194549, 'longitude': -73.5849023}","4398, Boul. St-Laurent",Suite 304,Montreal,45.5194549,-73.5849023,CAN
613517e27c85e5f861db89c4,Woodland Biofuels,cleantech,"{'description': 'Head Office', 'address1': '220 Superior Boulevard', 'address2': 'Mississauga', 'zip_code': 'L5T 2L2', 'city': 'Ontario', 'state_code': None, 'country_code': 'CAN', 'latitude': 43.6455935, 'longitude': -79.6944325}",220 Superior Boulevard,Mississauga,Ontario,43.6455935,-79.6944325,CAN
613517e07c85e5f861db6192,Revision3,games_video,"{'description': 'HQ', 'address1': '2415 3rd St', 'address2': '', 'zip_code': '94107', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.757758, 'longitude': -122.388243}",2415 3rd St,,San Francisco,37.757758,-122.388243,USA
613517e17c85e5f861db627e,PermissionTV,games_video,"{'description': None, 'address1': '1601 Trapelo Road, Suite 168', 'address2': None, 'zip_code': '02451', 'city': 'Waltham', 'state_code': 'MA', 'country_code': 'USA', 'latitude': 42.417268, 'longitude': -71.258466}","1601 Trapelo Road, Suite 168",,Waltham,42.417268,-71.258466,USA
